State,Crop,Season,Year,Area_Hectares,Rainfall_mm,Fertilizer_kg_per_ha,Avg_Temp_C,Irrigation_pct,Yield_kg_per_ha
Uttar Pradesh,Rice,Kharif,2006,957.85,756.36,207.43,26.64,41.84,995.21
Uttar Pradesh,Rice,Kharif,2007,1496.12,849.54,186.82,33.7,34.98,1101.52
Uttar Pradesh,Rice,Kharif,2008,2595.46,1188.62,63.94,30.15,32.79,921.77
Uttar Pradesh,Rice,Kharif,2009,3436.95,960.23,86.61,27.9,22.58,849.42
Uttar Pradesh,Rice,Kharif,2010,4551.14,688.17,248.76,24.23,59.01,1142.74
Uttar Pradesh,Rice,Kharif,2011,4849.44,1462.7,331.85,35.9,64.84,1984.16
Uttar Pradesh,Rice,Kharif,2012,4613.28,432.74,108.79,18.9,44.4,661.88
Uttar Pradesh,Rice,Kharif,2013,4152.25,835.13,134.28,28.85,30.57,936.31
Uttar Pradesh,Rice,Kharif,2014,4020.88,411.83,346.07,33.44,34.9,1140.12
Uttar Pradesh,Rice,Kharif,2015,3867.79,411.07,157.54,20.32,84.73,1106.88
Uttar Pradesh,Rice,Kharif,2016,3135.33,796.35,69.07,24.22,44.39,976.46
Uttar Pradesh,Rice,Kharif,2017,4441.7,1008.32,85.88,32.26,77.06,1421.12
Uttar Pradesh,Rice,Kharif,2005,2828.32,1456.45,198.14,28.45,52.07,1657.66
Uttar Pradesh,Rice,Kharif,2004,1606.06,1062.86,322.27,22.99,50.78,1809.98
Uttar Pradesh,Rice,Kharif,2003,3789.98,643.2,73.09,23.8,32.09,878.52
Uttar Pradesh,Rice,Kharif,2002,4028.18,579.86,317.77,28.79,80.56,1652.36
Uttar Pradesh,Rice,Kharif,2001,4485.65,777.01,83.02,22.56,52.03,1064.39
Uttar Pradesh,Rice,Kharif,2000,84.41,1066.12,175.22,22.44,28.99,1394.61
Uttar Pradesh,Wheat,Rabi,2006,1721.2,1714.36,146.96,28.38,72.73,2046.68
Uttar Pradesh,Wheat,Rabi,2007,4814.11,677.67,199.17,24.02,41.36,1430.2
Uttar Pradesh,Wheat,Rabi,2008,232.59,1214.35,200.8,19.03,40.9,1941.72
Uttar Pradesh,Wheat,Rabi,2009,767.23,1034.18,345.7,22.84,70.41,2592.14
Uttar Pradesh,Wheat,Rabi,2010,3820.02,656.46,268.46,25.36,67.42,1989.37
Uttar Pradesh,Wheat,Rabi,2011,496.93,1552.95,146.23,21.73,23.06,1937.93
Uttar Pradesh,Wheat,Rabi,2012,2974.92,1316.35,54.98,28.24,36.99,1311.56
Uttar Pradesh,Wheat,Rabi,2013,3470.14,880.1,331.02,20.75,45.58,2234.15
Uttar Pradesh,Wheat,Rabi,2014,611.69,1687.04,313.2,23.16,69.5,2960.59
Uttar Pradesh,Wheat,Rabi,2015,2671.77,662.78,77.93,35.94,87.53,1618.7
Uttar Pradesh,Wheat,Rabi,2016,3183.85,808.54,154.76,32.52,87.28,1997.3
Uttar Pradesh,Wheat,Rabi,2017,3228.06,426.21,98.49,35.97,65.48,1233.77
Uttar Pradesh,Wheat,Rabi,2005,95.53,452.21,249.05,18.1,32.06,1657.57
Uttar Pradesh,Wheat,Rabi,2004,3277.21,636.4,263.65,22.74,44.4,1902.11
Uttar Pradesh,Wheat,Rabi,2003,3745.13,1274.45,304.77,31.15,62.62,2942.7
Uttar Pradesh,Wheat,Rabi,2002,1362.75,665.98,341.9,25.86,86.9,2327.27
Uttar Pradesh,Wheat,Rabi,2001,3174.14,1492.22,200.79,29.54,56.94,2612.99
Uttar Pradesh,Wheat,Rabi,2000,1439.82,336.47,243.64,21.54,90.53,1678.6
Uttar Pradesh,Maize,Kharif,2006,4771.95,1672.3,161.05,18.31,89.62,1862.71
Uttar Pradesh,Maize,Kharif,2007,4819.92,1579.51,138.33,25.7,83.84,1675.29
Uttar Pradesh,Maize,Kharif,2008,1618.76,554.24,217.04,36.72,72.2,1202.6
Uttar Pradesh,Maize,Kharif,2009,3094.29,1785.08,92.03,28.37,85.8,1574.93
Uttar Pradesh,Maize,Kharif,2010,3716.8,1345.52,260.75,25.19,42.02,1908.7
Uttar Pradesh,Maize,Kharif,2011,4342.01,1669.86,203.4,28.03,79.87,2074.59
Uttar Pradesh,Maize,Kharif,2012,3267.32,1352.95,288.74,35.8,45.35,1879.07
Uttar Pradesh,Maize,Kharif,2013,2912.49,353.91,189.68,28.85,41.49,934.66
Uttar Pradesh,Maize,Kharif,2014,2974.62,345.75,61.2,34.45,47.01,729.59
Uttar Pradesh,Maize,Kharif,2015,3861.47,623.73,236.87,19.71,23.88,1092.99
Uttar Pradesh,Maize,Kharif,2016,2680.21,1110.95,241.23,32.52,93.19,1917.48
Uttar Pradesh,Maize,Kharif,2017,3986.17,706.25,181.69,19.57,21.9,1163.92
Uttar Pradesh,Maize,Kharif,2005,4815.11,1553.97,258.79,26.18,33.0,1828.22
Uttar Pradesh,Maize,Kharif,2004,2768.67,1371.89,248.06,23.6,91.61,2356.82
Uttar Pradesh,Maize,Kharif,2003,3702.59,1131.53,233.52,26.39,38.58,2030.55
Uttar Pradesh,Maize,Kharif,2002,121.25,474.11,63.8,18.81,84.16,981.42
Uttar Pradesh,Maize,Kharif,2001,3533.11,1011.26,79.35,27.83,55.51,1339.57
Uttar Pradesh,Maize,Kharif,2000,2022.6,1223.78,240.53,18.91,48.1,1885.29
Uttar Pradesh,Maize,Rabi,2006,3148.01,1054.7,306.95,31.17,32.22,1673.34
Uttar Pradesh,Maize,Rabi,2007,181.23,1178.66,332.07,29.51,49.11,1849.83
Uttar Pradesh,Maize,Rabi,2008,3234.28,987.38,213.69,36.83,48.96,1553.56
Uttar Pradesh,Maize,Rabi,2009,402.38,778.46,303.46,18.47,81.09,1749.95
Uttar Pradesh,Maize,Rabi,2010,1445.18,477.25,259.02,30.58,85.81,1526.47
Uttar Pradesh,Maize,Rabi,2011,1446.07,566.16,275.18,34.14,94.29,1736.04
Uttar Pradesh,Maize,Rabi,2012,2092.46,858.03,282.92,24.82,89.81,1983.04
Uttar Pradesh,Maize,Rabi,2013,3766.81,1431.81,80.94,36.05,57.89,1517.21
Uttar Pradesh,Maize,Rabi,2014,4140.96,780.07,318.66,25.78,20.81,1479.04
Uttar Pradesh,Maize,Rabi,2015,4755.51,1160.16,239.55,26.97,41.99,1808.42
Uttar Pradesh,Maize,Rabi,2016,1676.89,1308.78,275.71,33.83,79.22,2398.74
Uttar Pradesh,Maize,Rabi,2017,334.92,1124.29,182.46,35.75,46.32,1555.58
Uttar Pradesh,Maize,Rabi,2005,629.48,514.49,278.45,30.36,27.58,1279.33
Uttar Pradesh,Maize,Rabi,2004,410.18,1532.79,261.87,19.63,26.36,1785.47
Uttar Pradesh,Maize,Rabi,2003,4933.87,861.41,161.19,34.26,91.04,1651.54
Uttar Pradesh,Maize,Rabi,2002,3896.88,1137.61,177.27,36.13,28.34,1553.74
Uttar Pradesh,Maize,Rabi,2001,2488.49,317.03,190.6,19.13,28.91,973.81
Uttar Pradesh,Maize,Rabi,2000,3742.92,1175.05,338.65,25.5,41.43,2071.7
Uttar Pradesh,Soybean,Kharif,2006,4349.57,635.39,338.97,18.24,92.74,760.56
Uttar Pradesh,Soybean,Kharif,2007,415.29,1130.78,340.79,28.46,67.2,911.01
Uttar Pradesh,Soybean,Kharif,2008,3493.96,981.81,238.27,29.69,87.59,980.03
Uttar Pradesh,Soybean,Kharif,2009,1423.04,582.18,189.11,25.07,63.77,500.5
Uttar Pradesh,Soybean,Kharif,2010,434.79,1761.59,345.86,31.96,60.21,1016.64
Uttar Pradesh,Soybean,Kharif,2011,3439.42,543.93,323.28,34.45,91.23,702.92
Uttar Pradesh,Soybean,Kharif,2012,3642.31,1220.12,175.47,36.65,84.95,936.8
Uttar Pradesh,Soybean,Kharif,2013,4937.02,525.63,228.24,25.62,92.74,633.82
Uttar Pradesh,Soybean,Kharif,2014,4218.49,1557.49,190.61,26.3,40.51,732.52
Uttar Pradesh,Soybean,Kharif,2015,3856.49,1717.15,304.89,22.95,53.79,972.05
Uttar Pradesh,Soybean,Kharif,2016,689.34,1731.08,231.85,22.57,70.38,823.18
Uttar Pradesh,Soybean,Kharif,2017,612.11,1307.36,206.09,33.45,59.01,943.4
Uttar Pradesh,Soybean,Kharif,2005,4268.3,1127.86,218.28,35.53,50.26,860.36
Uttar Pradesh,Soybean,Kharif,2004,3535.19,619.45,90.91,18.29,46.29,499.27
